Player	Tm	PTS	Age	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF
Precious Achiuwa	NYK	5.2	-0.6351963265184739	0.20629169303748318	-0.3150587977086206	0.03283374721501092	-0.2656819443939407	-0.33179810331341497	0.43551489298780205	-0.9570095906118199	-0.9655712909044138	-1.2497025986847954	0.04847640916224962	0.05598337734896329	0.27939779884554233	0.08235475791249793	-0.395627783873798	-0.13616634918180395	-0.5398624356609876	1.7153190865270607	-0.36690110474753684	0.24679936151987278	-0.6055314829554178	-0.27750363141893697	1.9874594523208553	-0.5919651673464765	0.5217591264598587
Bam Adebayo	MIA	22.6	-0.1952868965024435	-0.526429009203536	0.20093035568151818	1.3768889467072785	2.154424956668531	2.0382750425311977	0.4733747647203768	-0.5411719207825215	-0.28189119041584676	-0.2888764288258235	2.8337007581497122	2.9508859012302975	0.2966897166975982	0.16348300304807004	0.9102490143111805	1.1548285310355508	0.3631918443377649	1.4968851177577713	1.9846846780935818	1.9983193200614182	0.9985998885257048	-0.27750363141893697	-0.8306405458221718	0.6633333873568695	1.2152774684624035
Nickeil Alexander-Walker	MIN	7.3	-0.4152416115104587	1.4885529219592666	-0.4870551821720002	0.27177689379141423	-0.1662254964050719	0.025336206334403484	-0.22432858577992876	0.602381671248049	0.9648195810633048	0.1723201327064829	-0.4359104341399177	-0.5007286464743704	0.37882632649486353	0.01077101220464016	-0.395627783873798	-0.5050220292439052	1.1482177533944313	-0.5782375855504789	-0.5410926442172493	-0.561594465499302	0.24666330814392848	0.12375161941655323	0.036467145914144204	-0.06892410288674904	-0.08506942279236832
Grayson Allen	PHO	3.5	0.2446225335135869	-1.0759695358843002	-0.3150587977086206	0.11497045385064959	-0.8624206323271529	-0.7051657906724978	-1.1221484011524148	-0.43721250332519696	-0.0808088079192094	-0.2888764288258235	-0.8799317071669045	-0.9238297845801039	-1.9901664192367867	-0.8148281882926519	0.3661336817341062	0.14047541086477208	1.1482177533944313	0.18628130514203428	0.1556735136616006	0.17943320926827483	-0.40501506152027755	-0.07687600600119188	-0.8306405458221718	0.5587251744649239	0.3483795409592223
Jarrett Allen	CLE	17.0	-0.4152416115104587	-0.7096091847637908	0.02893397121813859	0.8840687068934471	1.0604040287909755	0.3987038936934865	1.4523228766626661	-0.9570095906118199	-1.0862207204023961	-1.2497025986847954	1.6630992201694743	1.1471389440426971	0.9321676977606504	0.979537704117648	1.7264220131767922	2.215288611214092	0.3028052359487905	3.244356867912087	3.204025454381569	3.480374669596572	-0.25462774544392225	1.5281449973407693	1.3371286835186182	0.349508748681033	0.3483795409592223
Jose Alvarado	NOP	1.8	-0.4152416115104587	-0.7096091847637908	-0.6590515666353798	-0.33304794598010623	-0.7629641843382842	-0.299331347890886	-1.3925760563850913	-0.6451313382398463	0.32135595707406533	-0.9086093083848603	-0.6781038557910014	-0.5898025702861037	-0.550614258053138	-1.4113594025247993	-0.7220969834200426	-0.7816637892904812	-1.5966280824680386	-0.9058885387044131	-0.7152841836869618	-0.8310590745056936	0.24666330814392848	1.5281449973407693	-0.18030977701993486	0.03568411000519644	-0.6918979720445951
Kyle Anderson	MIN	4.3	0.6845319635296173	1.305372746399012	-0.4870551821720002	-0.3405149193106188	-0.4645948403716781	-0.4941318804260597	0.2624411936388892	-0.8530501731544954	-0.8851383379057589	-0.04866988636108058	-0.2340825827640146	-0.1889699131333036	0.1280935176400536	0.015543261918497345	-0.34121625061609057	-0.41280810922837985	0.6898284988053989	0.4047152739113237	-0.4975447593498212	-0.25844678036711144	0.34692151886149875	0.3243792448342983	-0.18030977701993486	-0.2781405286706401	0.0883101627082679
Thanasis Antetokounmpo	MIL	0.0	0.9044866785376325	-1.0759695358843002	-0.6590515666353798	-1.303754478946744	-1.0281813789752674	-1.1110002334541098	-2.203859022083121	-0.9570095906118199	-1.0862207204023961	-1.2497025986847954	-0.8799317071669045	-0.9238297845801039	-1.9901664192367867	-2.2465031024498057	-0.7220969834200426	-0.7816637892904812	-1.5966280824680386	-0.9058885387044131	-1.150763032361243	-1.167889835763683	-0.9063061151081284	-0.07687600600119188	0.25324406884822315	-1.0103980189142585	-0.9519673502955496
Cole Anthony	ORL	5.1	-0.8551510415264891	-0.1600686580830264	-0.6590515666353798	-0.39278373262420707	-0.39829054171243233	-0.15323094848950566	-0.48934768790795174	-0.6451313382398463	-0.3221076669151743	-0.5098664478933871	-0.2340825827640146	-0.03309054646277016	-0.2912354902723004	-0.6191659500245074	-0.12357011758526074	-0.18227330918956655	0.8435398656136973	-0.5782375855504789	-0.32335321988010873	-0.46054523712190515	-0.25462774544392225	0.12375161941655323	-0.6138636228880928	-0.2781405286706401	0.6084489192101765
OG Anunoby	NYK	15.1	-0.1952868965024435	0.20629169303748318	0.8889158935350365	1.1976815867749762	1.0272518794613528	0.8857052250314207	0.5274602957669121	0.9142599236200228	0.643087769068685	0.7199910495260968	0.8961533849410428	0.8576486916545636	0.41341016219897525	0.5070849824457868	-0.23239318410067566	-0.13616634918180395	0.09145210658738046	-0.03215266362725513	1.1137269807450194	0.8530947317842538	-0.3548859561614924	0.7256344956697888	1.3371286835186182	0.14029232289714202	0.0883101627082679
